name,style,viewBox,declared,est,est_n,est_ratio,scale_source,method,candidates,tag_is_top,top_margin,best_area_sf,mean_width_ft,stage,error,identify_ms,regions,stalls,aprons,drive_width,drive_length,throat_width,curb_radius
00cda275_option_1.svg,class,1920x1080,,6.5147,8,0.5,estimated,tagged,73,true,1.04,2320,14.9,done,,61,APRON1+DRIVE1,0,1,9.9,73,10.1,5
012cb8cb_option_1.svg,class,1920x1080,,5.7216,12,0.5,estimated,tagged,49,false,1.77,3122,12.6,done,,65,APRON3+STALL1,4,3,,,10,5
012cb8cb_option_2.svg,class,1920x1080,,5.7182,8,0.5,estimated,tagged,50,false,1.78,2879,13,done,,30,APRON2+DRIVE1,0,2,10,84.4,10,5
03c8385b_option_1.svg,class,1920x1080,,5.1292,14,0.5,estimated,tagged,580,false,1.04,2235,13.4,done,,25,DRIVE1,0,0,12,76.7,,
03c8385b_option_2.svg,class,1920x1080,,5.1292,12,0.5,estimated,tagged,577,false,1.04,1624,12,done,,18,DRIVE1,0,0,12,97.3,,
03c8385b_option_3.svg,class,1920x1080,,5.1292,14,0.5,estimated,tagged,579,false,1.04,1921,12.1,done,,30,DRIVE1+STALL1,1,0,12,103.8,,
03c8385b_option_4.svg,class,1920x1080,,5.1292,12,0.5,estimated,tagged,582,false,1.04,2095,10.8,done,,20,DRIVE1,0,0,12,171.6,,
03c8385b_option_5.svg,class,1920x1080,,6.3331,24,0.471,estimated,tagged,61,false,1.41,2971,15.3,done,,17,DRIVE1,0,0,16.4,159.9,,
044920ad_option_1.svg,class,1920x1080,,,0,,none,tagged,40,false,3.09,,,scale,,,,,,,,,
044920ad_option_2.svg,class,1920x1080,,,0,,none,tagged,44,false,3.09,,,scale,,,,,,,,,
044920ad_option_3.svg,class,1920x1080,,,0,,none,tagged,33,false,3.09,,,scale,,,,,,,,,
04a3b128_option_1.svg,class,1920x1080,,2.9699,183,0.5,estimated,tagged,549,false,1.18,34130,59.8,done,,57,STALL2,4,0,,,,
04a3b128_option_2.svg,class,1920x1080,,2.9699,672,0.5,estimated,tagged,544,false,1.18,34130,59.8,done,,56,STALL2,4,0,,,,
04a3b128_option_3.svg,class,1920x1080,,2.9699,496,0.5,estimated,tagged,542,false,1.06,2198,17,done,,10,DRIVE1,0,0,24,87.8,,
07af836f_option_1.svg,class,1920x1080,,,0,,none,tagged,51,true,1.05,,,scale,,,,,,,,,
07af836f_option_2.svg,class,1920x1080,,,0,,none,tagged,51,true,1.05,,,scale,,,,,,,,,
08171cb3_option_1.svg,class,1920x1080,,0.86,1020,0.5,estimated,tagged,499,true,16.37,162701,26.3,identify,found non-noded intersection between LINESTRING ( 714.1465116279072 93,,,,,,,,
08171cb3_option_2.svg,class,1920x1080,,0.86,1024,0.5,estimated,tagged,399,true,16.34,129290,25,done,,496,APRON2+DRIVE1+STALL2,3,2,24,417.3,24,5
08171cb3_option_3.svg,class,1920x1080,,0.86,796,0.5,estimated,tagged,386,true,17.38,123099,24.7,done,,333,APRON6+DRIVE4+LOT1+STALL2,2,7,24,776.5,24,5
08171cb3_option_4.svg,class,1920x1080,,0.86,1168,0.5,estimated,tagged,478,true,17.38,141692,24.8,done,,416,APRON6+DRIVE5+STALL1,2,7,24,601.6,24,5
08a9e7dd_option_1.svg,class,1920x1080,,2.2405,336,0.484,estimated,tagged,66,false,1,49960,86.1,done,,22,STALL1,5,0,,,,
08a9e7dd_option_10.svg,class,1920x1080,,2.4356,124,0.5,estimated,tagged,75,false,1.56,31483,59.2,done,,15,,2,0,,,,
08a9e7dd_option_2.svg,class,1920x1080,,2.2405,168,0.484,estimated,tagged,65,false,1.03,49960,86.1,done,,44,STALL1,5,0,,,,
08a9e7dd_option_3.svg,class,1920x1080,,2.3134,202,0.5,estimated,tagged,112,true,1.65,59883,81.9,done,,29,APRON1+STALL1,3,1,,,25,25
08a9e7dd_option_4.svg,class,1920x1080,,2.3134,102,0.5,estimated,tagged,146,false,1.68,30272,62.5,done,,28,APRON1+DRIVE1,0,1,25,124.4,25,15
08a9e7dd_option_5.svg,class,1920x1080,,2.3134,162,0.5,estimated,tagged,139,false,1.65,26274,59.8,done,,24,LOT1+STALL2,2,0,,,,
08a9e7dd_option_6.svg,class,1920x1080,,2.3134,560,0.514,estimated,tagged,78,true,1.12,76829,108.3,done,,34,APRON1+STALL2,2,1,,,25,15
08a9e7dd_option_7.svg,class,1920x1080,,2.2405,280,0.484,estimated,tagged,77,true,1.12,81909,111.8,done,,28,APRON1+DRIVE1+STALL1,2,1,25.8,120.7,25.8,15.5
08a9e7dd_option_8.svg,class,1920x1080,,2.3242,90,0.511,estimated,tagged,105,true,1.24,10576,23.1,done,,16,APRON2+DRIVE1,0,2,24.9,95.2,24.9,24.9
093599c9_option_1.svg,class,1920x1080,,8.6957,8,0.5,estimated,tagged,39,false,1.44,1601,12.6,done,,5,DRIVE1,0,0,11.9,39.9,,
