name,px_per_ft,method,paving_sf,regions,drive_width,outcome,detail
1da637e8_option_1.svg,5.18441,tagged,5267,LOT1,,drive_not_found,
1da637e8_option_2.svg,5.18441,tagged,5703,STALL3,,drive_not_found,
1da637e8_option_3.svg,5.18441,tagged,1090,DRIVE1,20.0,drive_found,
1da637e8_option_4.svg,5.18441,tagged,1368,DRIVE1,36.0,drive_found,
1da637e8_option_5.svg,5.18441,tagged,3122,LOT1,,drive_not_found,
21b16bff_option_1.svg,5.884545,tagged,2266,APRON1+DRIVE1,17.9,drive_found,
21b16bff_option_10.svg,5.884545,tagged,1337,DRIVE1,26.0,drive_found,
21b16bff_option_11.svg,5.884545,tagged,434,DRIVE1,15.1,drive_found,
21b16bff_option_12.svg,5.884545,tagged,1467,DRIVE1,26.0,drive_found,
21b16bff_option_13.svg,5.877434,tagged,1362,DRIVE1,26.0,drive_found,
21b16bff_option_14.svg,5.877434,tagged,1362,DRIVE1,26.0,drive_found,
21b16bff_option_15.svg,5.877434,tagged,248,DRIVE1,13.5,drive_found,
21b16bff_option_2.svg,5.884545,tagged,1781,APRON1+DRIVE1,13.9,drive_found,
21b16bff_option_3.svg,5.89293,tagged,1736,APRON1+DRIVE1,14.0,drive_found,
21b16bff_option_4.svg,5.884545,tagged,1624,DRIVE1,16.2,drive_found,
21b16bff_option_7.svg,5.877263,tagged,317,DRIVE1,8.9,drive_found,
21b16bff_option_8.svg,5.884545,tagged,2159,APRON1+DRIVE1,14.3,drive_found,
23a219ff_option_1.svg,6.572616,tagged,2479,DRIVE1,12.0,drive_found,
23a219ff_option_4.svg,5.874327,tagged,2054,DRIVE1,12.0,drive_found,
23a219ff_option_5.svg,5.901226,tagged,2264,STALL1,,drive_not_found,
23a219ff_option_6.svg,5.901226,tagged,2390,DRIVE1,10.0,drive_found,
23a219ff_option_7.svg,5.901226,tagged,2200,DRIVE1,10.0,drive_found,
23a219ff_option_8.svg,5.901226,tagged,1732,DRIVE1,10.0,drive_found,
2ac68c85_option_1.svg,7.000071,ranked,700,DRIVE1,23.1,drive_found,
2ac68c85_option_3.svg,7.000071,ranked,933,DRIVE1,25.0,drive_found,
5680ec8c_option_1.svg,22.987845,ranked,692,DRIVE1,13.0,drive_found,
5680ec8c_option_2.svg,22.987845,ranked,692,DRIVE1,13.0,drive_found,
5680ec8c_option_3.svg,22.987845,ranked,692,DRIVE1,13.0,drive_found,
a628c9f2_option_4.svg,5.492091,tagged,3557,DRIVE1,12.8,drive_found,
b30e89cd_option_5.svg,5.873642,tagged,849,DRIVE1,24.0,drive_found,
b30e89cd_option_6.svg,5.873642,tagged,984,DRIVE1,17.6,drive_found,
b30e89cd_option_7.svg,1.751641,tagged,1013,DRIVE1,7.9,drive_found,
b8f9bc81_option_1.svg,7.454376,tagged,470,DRIVE1,12.0,drive_found,
df2dbae4_option_1.svg,4.598943,tagged,8160,DRIVE1,24.0,drive_found,
f2946bfc_option_1.svg,2.788028,tagged,9209,STALL3,,drive_not_found,
option_1.svg,2.788028,tagged,9525,APRON1+DRIVE1+STALL2,24.0,drive_found,
