name,regions,asks,stalls
1da637e8_option_1_scale_supplied_and_drive_not_found.svg,LOT1,0,0
1da637e8_option_2_scale_supplied_and_drive_not_found.svg,STALL1,0,3
1da637e8_option_3_scale_supplied_and_drive_found.svg,LOT1,1,0
1da637e8_option_4_scale_supplied_and_drive_found.svg,LOT1,1,0
1da637e8_option_5_scale_supplied_and_drive_not_found.svg,LOT1,1,0
21b16bff_option_10_scale_supplied_and_drive_found.svg,DRIVE1,0,0
21b16bff_option_11_scale_supplied_and_drive_found.svg,DRIVE1,0,0
21b16bff_option_12_scale_supplied_and_drive_found.svg,LOT1,1,0
21b16bff_option_13_scale_supplied_and_drive_found.svg,DRIVE1,0,0
21b16bff_option_14_scale_supplied_and_drive_found.svg,DRIVE1,0,0
21b16bff_option_15_scale_supplied_and_drive_found.svg,DRIVE1,0,0
21b16bff_option_1_scale_supplied_and_drive_found.svg,APRON1+DRIVE1,0,0
21b16bff_option_2_scale_supplied_and_drive_found.svg,APRON1+DRIVE1,0,0
21b16bff_option_3_scale_supplied_and_drive_found.svg,APRON1+DRIVE1,0,0
21b16bff_option_4_scale_supplied_and_drive_found.svg,DRIVE1,0,0
21b16bff_option_7_scale_supplied_and_drive_found.svg,DRIVE1,0,0
21b16bff_option_8_scale_supplied_and_drive_found.svg,APRON1+LOT1,1,0
23a219ff_option_1_scale_supplied_and_drive_found.svg,DRIVE1,0,0
23a219ff_option_4_scale_supplied_and_drive_found.svg,DRIVE1,0,0
23a219ff_option_5_scale_supplied_and_drive_not_found.svg,LOT1,1,0
23a219ff_option_6_scale_supplied_and_drive_found.svg,LOT1,1,0
23a219ff_option_7_scale_supplied_and_drive_found.svg,LOT1,1,0
23a219ff_option_8_scale_supplied_and_drive_found.svg,DRIVE1,0,0
2ac68c85_option_1_scale_supplied_and_drive_found.svg,DRIVE1,0,0
2ac68c85_option_3_scale_supplied_and_drive_found.svg,DRIVE1,0,0
5680ec8c_option_1_scale_supplied_and_drive_found.svg,DRIVE1,0,0
5680ec8c_option_2_scale_supplied_and_drive_found.svg,DRIVE1,0,0
5680ec8c_option_3_scale_supplied_and_drive_found.svg,DRIVE1,0,0
a628c9f2_option_4_scale_supplied_and_drive_found.svg,DRIVE1,0,0
b30e89cd_option_5_scale_supplied_and_drive_found.svg,DRIVE1,0,0
b30e89cd_option_6_scale_supplied_and_drive_found.svg,DRIVE1,0,0
b30e89cd_option_7_scale_supplied_and_drive_found.svg,DRIVE1,0,0
b8f9bc81_option_1_scale_supplied_and_drive_found.svg,DRIVE1,0,0
df2dbae4_option_1_scale_supplied_and_drive_found.svg,DRIVE1,0,0
f2946bfc_option_1_scale_supplied_and_drive_not_found.svg,DRIVE1+STALL2,0,2
option_1_scale_supplied_and_drive_found.svg,APRON1+DRIVE1+STALL2,0,2
