name,regions,cuts,widths
1da637e8_option_1,LOT1,0,LOT42
1da637e8_option_2,STALL1,9,STALL17
1da637e8_option_3,LOT1,0,LOT20
1da637e8_option_4,LOT1,0,LOT36
1da637e8_option_5,DRIVE1+LOT1,1,LOT24/DRIVE18
21b16bff_option_10,DRIVE1,0,DRIVE26
21b16bff_option_11,DRIVE1,0,DRIVE18
21b16bff_option_12,LOT1,0,LOT26
21b16bff_option_13,DRIVE1,2,DRIVE26
21b16bff_option_14,DRIVE1,2,DRIVE26
21b16bff_option_15,DRIVE1,0,DRIVE13
21b16bff_option_1,APRON1+DRIVE1,1,DRIVE18/APRON19
21b16bff_option_2,APRON1+DRIVE1,1,DRIVE14/APRON15
21b16bff_option_3,APRON1+DRIVE1,1,DRIVE14/APRON14
21b16bff_option_4,DRIVE1,0,DRIVE16
21b16bff_option_7,DRIVE1,0,DRIVE9
21b16bff_option_8,APRON1+DRIVE1+LOT1,2,LOT26/DRIVE14/APRON15
23a219ff_option_1,DRIVE1,0,DRIVE12
23a219ff_option_4,DRIVE1,0,DRIVE12
23a219ff_option_5,DRIVE1+LOT1,1,LOT35/DRIVE10
23a219ff_option_6,LOT1,2,LOT10
23a219ff_option_7,DRIVE1+LOT1,1,LOT33/DRIVE10
23a219ff_option_8,DRIVE1,0,DRIVE10
2ac68c85_option_1,DRIVE1,0,DRIVE23
2ac68c85_option_3,DRIVE1,0,DRIVE25
5680ec8c_option_1,DRIVE1,0,DRIVE13
5680ec8c_option_2,DRIVE1,0,DRIVE13
5680ec8c_option_3,DRIVE1,0,DRIVE13
a628c9f2_option_4,DRIVE2,3,DRIVE12/DRIVE15
b30e89cd_option_5,DRIVE1,0,DRIVE24
b30e89cd_option_6,DRIVE1,0,DRIVE18
b30e89cd_option_7,DRIVE1,0,DRIVE8
b8f9bc81_option_1,DRIVE1,0,DRIVE12
df2dbae4_option_1,DRIVE1,1,DRIVE24
f2946bfc_option_1,DRIVE1+STALL2,2,STALL9/DRIVE24/STALL9
option_1,APRON1+DRIVE1+STALL2,3,STALL9/DRIVE24/STALL9/APRON24
