name,style,declared,est,est_n,ratio,scale_source,dim_scale,dim_n,dim_total,pitch_ft,stripe_ft,drive_width_csv,drive_width_dim,readings
00cda275_option_1.svg,class,,6.5147,8,0.5,estimated,,,,,,9.9,,
012cb8cb_option_1.svg,class,,5.7216,12,0.5,estimated,5.7235,2,2,9.00,17.99,,,5.735 5.712
012cb8cb_option_2.svg,class,,5.7182,8,0.5,estimated,5.7201,2,2,9.00,17.99,10,10.00,5.708 5.732
03c8385b_option_1.svg,class,,5.1292,14,0.5,estimated,5.1293,6,6,9.00,18.00,12,12.00,5.129 5.129 5.140 5.129 5.136 5.112
03c8385b_option_2.svg,class,,5.1292,12,0.5,estimated,5.1296,8,8,9.00,18.00,12,12.00,5.142 5.112 5.136 5.129 5.140 5.129 5.112 5.136
03c8385b_option_3.svg,class,,5.1292,14,0.5,estimated,5.1353,8,8,8.99,17.98,12,11.99,5.188 5.136 5.112 5.129 5.140 5.129 5.136 5.112
03c8385b_option_4.svg,class,,5.1292,12,0.5,estimated,5.1278,7,7,9.00,18.01,12,12.00,5.129 5.112 5.136 5.129 5.140 5.112 5.136
03c8385b_option_5.svg,class,,6.3331,24,0.471,estimated,6.5236,6,6,8.74,18.55,16.4,15.92,6.528 6.536 6.506 6.528 6.536 6.506
044920ad_option_1.svg,class,,,0,,none,6.1135,4,4,,,,,6.091 6.137 6.113 6.113
044920ad_option_2.svg,class,,,0,,none,6.1135,4,4,,,,,6.137 6.113 6.113 6.091
044920ad_option_3.svg,class,,,0,,none,6.1078,4,4,,,,,6.113 6.114 6.091 6.113
04a3b128_option_1.svg,class,,2.9699,183,0.5,estimated,,,,,,,,
04a3b128_option_2.svg,class,,2.9699,672,0.5,estimated,,,,,,,,
04a3b128_option_3.svg,class,,2.9699,496,0.5,estimated,,,,,,24,,
07af836f_option_1.svg,class,,,0,,none,,,,,,,,
07af836f_option_2.svg,class,,,0,,none,,,,,,,,
08171cb3_option_1.svg,class,,0.86,1020,0.5,estimated,,,,,,,,
08171cb3_option_2.svg,class,,0.86,1024,0.5,estimated,,,,,,24,,
08171cb3_option_3.svg,class,,0.86,796,0.5,estimated,,,,,,24,,
08171cb3_option_4.svg,class,,0.86,1168,0.5,estimated,,,,,,24,,
08a9e7dd_option_1.svg,class,,2.2405,336,0.484,estimated,2.3134,3,3,8.72,18.01,,,2.313 2.313 2.313
08a9e7dd_option_10.svg,class,,2.4356,124,0.5,estimated,2.4363,10,10,9.00,17.99,,,2.439 2.441 2.436 2.436 2.435 2.436 2.436 2.436 2.436 2.436
08a9e7dd_option_2.svg,class,,2.2405,168,0.484,estimated,2.3134,1,1,8.72,18.01,,,2.313
08a9e7dd_option_3.svg,class,,2.3134,202,0.5,estimated,2.3134,3,3,9.00,18.00,,,2.313 2.313 2.313
08a9e7dd_option_4.svg,class,,2.3134,102,0.5,estimated,2.3134,4,4,9.00,18.00,25,25.00,2.313 2.313 2.313 2.313
08a9e7dd_option_5.svg,class,,2.3134,162,0.5,estimated,2.3134,4,4,9.00,18.00,,,2.313 2.313 2.313 2.313
08a9e7dd_option_6.svg,class,,2.3134,560,0.514,estimated,2.3134,4,4,9.00,17.51,,,2.313 2.313 2.313 2.313
08a9e7dd_option_7.svg,class,,2.2405,280,0.484,estimated,2.3134,4,4,8.72,18.01,25.8,24.99,2.313 2.313 2.313 2.313
08a9e7dd_option_8.svg,class,,2.3242,90,0.511,estimated,2.3134,3,3,9.04,17.69,24.9,25.02,2.313 2.313 2.313
093599c9_option_1.svg,class,,8.6957,8,0.5,estimated,8.6957,4,4,9.00,18.00,11.9,11.90,8.696 8.696 8.696 8.696
093599c9_option_2.svg,class,,,0,,none,8.6957,4,4,,,,,8.696 8.696 8.696 8.696
093599c9_option_3.svg,class,,8.6957,8,0.5,estimated,8.7065,12,12,8.99,17.98,9,8.99,8.696 8.696 8.696 8.691 8.704 8.696 8.819 8.696 8.696 8.699 8.696 8.696
0963f837_option_1.svg,class,,,0,,none,10.2319,5,5,,,,,10.217 10.217 10.217 10.217 10.293
0a1f4598_option_1.svg,class,,,0,,none,3.7507,4,4,,,,,3.751 3.751 3.751 3.751
0a1f4598_option_2.svg,class,,3.334,18,0.474,estimated,3.7507,9,9,8.00,16.88,28.1,24.98,3.751 3.751 3.751 3.751 3.751 3.751 3.751 3.751 3.751
0a1f4598_option_3.svg,class,,3.334,18,0.474,estimated,3.7507,9,9,8.00,16.88,28.1,24.98,3.751 3.751 3.751 3.751 3.751 3.751 3.751 3.751 3.751
0a1f4598_option_4.svg,class,,3.0431,32,0.444,estimated,3.7507,4,4,7.30,16.45,30.8,24.99,3.751 3.751 3.751 3.751
0a1f4598_option_5.svg,class,,,0,,none,3.7536,6,6,,,,,3.768 3.751 3.751 3.751 3.751 3.751
0a1f4598_option_6.svg,class,,3.334,25,0.5,estimated,3.7529,8,8,8.00,15.99,19.1,16.97,3.768 3.751 3.751 3.751 3.751 3.751 3.751 3.751
0a1f4598_option_7.svg,class,,3.4366,22,0.471,estimated,3.7486,7,7,8.25,17.52,,,3.751 3.736 3.751 3.751 3.751 3.751 3.751
0c93115c_option_1.svg,class,,3.983,8,0.5,estimated,,,,,,12,,
0c93115c_option_2.svg,class,,,0,,none,,,,,,,,
0e25bc46_option_1.svg,class,,,0,,none,5.2191,3,3,,,,,5.222 5.218 5.216
0e25bc46_option_2.svg,class,,5.0626,40,0.471,estimated,,,,,,20.6,,
1097233b_option_1.svg,class,,0.0303,24,0.628,estimated,7.2823,7,8,0.04,0.06,2878.9,11.98,7.549 7.302 7.250 7.269 7.269 7.269 7.348 7.269
1097233b_option_2.svg,class,,0.0303,24,0.628,estimated,7.2823,7,8,0.04,0.06,2878.9,11.98,7.269 7.250 7.302 7.549 7.269 7.269 7.348 7.269
1097233b_option_3.svg,class,,0.0303,32,0.628,estimated,7.2867,7,8,0.04,0.06,2878.9,11.97,7.300 7.250 7.302 7.549 7.269 7.269 7.348 7.269
10e25850_option_1.svg,class,,7.6984,24,0.471,estimated,,,,,,,,
1a4cbed8_option_1.svg,class,,,0,,none,,,,,,,,
1a4cbed8_option_2.svg,class,,,0,,none,,,,,,,,
1a4cbed8_option_3.svg,class,,,0,,none,,,,,,,,
1b4c7513_option_1.svg,class,,6.5139,8,0.5,estimated,,,,,,10.9,,
1b4c7513_option_2.svg,class,,,0,,none,,,,,,,,
1c5f6fd9_option_1.svg,class,,,0,,none,,,,,,,,
1c7ec419_option_1.svg,class,,,0,,none,9.6097,6,6,,,,,9.636 9.479 9.636 9.636 9.636 9.636
1da637e8_option_1.svg,attr,5.18441,,0,,declared,,,,,,,,
1da637e8_option_2.svg,attr,5.18441,,0,,declared,,,,,,,,
1da637e8_option_3.svg,attr,5.18441,,0,,declared,,,,,,20,,
1da637e8_option_4.svg,attr,5.18441,,0,,declared,,,,,,36,,
1da637e8_option_5.svg,attr,5.18441,,0,,declared,,,,,,,,
1dd64b6b_option_1.svg,class,,,0,,none,,,,,,,,
1dd64b6b_option_2.svg,class,,2.3411,60,0.5,estimated,,,,,,4.9,,
1dd64b6b_option_3.svg,class,,2.3411,148,0.5,estimated,,,,,,,,
1dd64b6b_option_4.svg,class,,2.3411,148,0.5,estimated,,,,,,,,
1dd64b6b_option_5.svg,class,,2.3411,20,0.474,estimated,,,,,,,,
1dd64b6b_option_6.svg,class,,2.3411,20,0.474,estimated,,,,,,,,
20ef7a5c_option_1.svg,class,,5.9095,52,0.471,estimated,,,,,,,,
20ef7a5c_option_2.svg,class,,5.9095,52,0.471,estimated,,,,,,,,
21b16bff_option_1.svg,attr,5.884545,,0,,declared,,,,,,17.9,,
21b16bff_option_10.svg,attr,5.884545,,0,,declared,,,,,,26,,
21b16bff_option_11.svg,attr,5.884545,,0,,declared,,,,,,15.1,,
21b16bff_option_12.svg,attr,5.884545,,0,,declared,,,,,,26,,
21b16bff_option_13.svg,attr,5.877434,,0,,declared,,,,,,26,,
21b16bff_option_14.svg,attr,5.877434,,0,,declared,,,,,,26,,
21b16bff_option_15.svg,attr,5.877434,,0,,declared,,,,,,13.5,,
21b16bff_option_2.svg,attr,5.884545,,0,,declared,,,,,,13.9,,
21b16bff_option_3.svg,attr,5.89293,,0,,declared,,,,,,14,,
21b16bff_option_4.svg,attr,5.884545,,0,,declared,,,,,,16.2,,
21b16bff_option_7.svg,attr,5.877263,,0,,declared,,,,,,8.9,,
21b16bff_option_8.svg,attr,5.884545,,0,,declared,,,,,,14.3,,
23a219ff_option_1.svg,attr,6.572616,,0,,declared,,,,,,12,,
23a219ff_option_4.svg,attr,5.874327,,0,,declared,,,,,,12,,
23a219ff_option_5.svg,attr,5.901226,,0,,declared,,,,,,,,
23a219ff_option_6.svg,attr,5.901226,,0,,declared,,,,,,10,,
23a219ff_option_7.svg,attr,5.901226,,0,,declared,,,,,,10,,
23a219ff_option_8.svg,attr,5.901226,,0,,declared,,,,,,10,,
24994d13_option_1.svg,class,,,0,,none,3.7524,20,22,,,,,3.762 3.749 3.750 3.726 3.749 3.390 3.819 3.921 3.750 3.749 3.750 3.750 3.750 3.750 3.750 3.750 3.749 3.750 3.750 3.750 3.750 3.749
