name,est,stripes,ratio,angle_deg,stall_depth_ft,dim_scale,dim_n,err_vs_dim
00cda275_option_1.svg,6.5147,8,0.5,90,18,,,
012cb8cb_option_1.svg,5.7216,12,0.5,90,18,5.7235,2,-0.0003
012cb8cb_option_2.svg,5.7182,8,0.5,90,18,5.7201,2,-0.0003
03c8385b_option_1.svg,5.1292,14,0.5,90,18,5.1293,6,-0.0000
03c8385b_option_2.svg,5.1292,12,0.5,90,18,5.1296,8,-0.0001
03c8385b_option_3.svg,5.1292,14,0.5,90,18,5.1353,8,-0.0012
03c8385b_option_4.svg,5.1292,12,0.5,90,18,5.1278,7,0.0003
03c8385b_option_5.svg,6.528,24,0.485,76,18,6.5236,6,0.0007
044920ad_option_1.svg,,0,,,,6.1135,4,
044920ad_option_2.svg,,0,,,,6.1135,4,
044920ad_option_3.svg,,0,,,,6.1078,4,
04a3b128_option_1.svg,2.9699,183,0.5,90,18,,,
04a3b128_option_2.svg,2.9699,672,0.5,90,18,,,
04a3b128_option_3.svg,2.9699,496,0.5,90,18,,,
07af836f_option_1.svg,,0,,,,,,
07af836f_option_2.svg,,0,,,,,,
08171cb3_option_1.svg,0.86,1020,0.5,90,18,,,
08171cb3_option_2.svg,0.86,1024,0.5,90,18,,,
08171cb3_option_3.svg,0.86,796,0.5,90,18,,,
08171cb3_option_4.svg,0.86,1168,0.5,90,18,,,
08a9e7dd_option_1.svg,2.3134,568,0.5,75.6,17.43,2.3134,3,0.0000
08a9e7dd_option_10.svg,2.4354,204,0.5,90,18,2.4363,10,-0.0004
08a9e7dd_option_2.svg,2.3134,284,0.5,75.6,17.43,2.3134,1,
08a9e7dd_option_3.svg,2.3134,334,0.5,90,18,2.3134,3,0.0000
08a9e7dd_option_4.svg,2.3134,174,0.5,90,18,2.3134,4,0.0000
08a9e7dd_option_5.svg,2.3134,134,0.5,90,18,2.3134,4,0.0000
08a9e7dd_option_6.svg,2.3134,560,0.514,90,17.5,2.3134,4,0.0000
08a9e7dd_option_7.svg,2.3134,482,0.5,75.6,17.43,2.3134,4,0.0000
08a9e7dd_option_8.svg,2.3242,82,0.511,90,17.62,2.3134,3,0.0047
093599c9_option_1.svg,8.6957,8,0.5,90,18,8.6957,4,0.0000
093599c9_option_2.svg,,0,,,,8.6957,4,
093599c9_option_3.svg,8.6957,8,0.5,90,18,8.7065,12,-0.0012
0963f837_option_1.svg,,0,,,,10.2319,5,
0a1f4598_option_1.svg,,0,,,,3.7507,4,
0a1f4598_option_2.svg,3.334,18,0.474,90,18.98,3.7507,9,-0.1111
0a1f4598_option_3.svg,3.334,18,0.474,90,18.98,3.7507,9,-0.1111
0a1f4598_option_4.svg,3.1256,26,0.469,90,19.2,3.7507,4,-0.1667
0a1f4598_option_5.svg,,0,,,,3.7536,6,
0a1f4598_option_6.svg,3.3388,27,0.501,90,17.97,3.7529,8,-0.1103
0a1f4598_option_7.svg,3.5423,22,0.486,76,17.97,3.7486,7,-0.0550
0c93115c_option_1.svg,3.983,8,0.5,90,18,,,
0c93115c_option_2.svg,,0,,,,,,
0e25bc46_option_1.svg,5.2184,25,0.5,90,18,5.2191,3,-0.0001
0e25bc46_option_2.svg,5.1948,42,0.498,90,18.08,,,
1097233b_option_1.svg,,0,,,,7.2823,7,
1097233b_option_2.svg,,0,,,,7.2823,7,
1097233b_option_3.svg,,0,,,,7.2867,7,
10e25850_option_1.svg,7.9353,24,0.485,76,18,,,
1a4cbed8_option_1.svg,4.8625,12,0.486,76,17.95,,,
1a4cbed8_option_2.svg,,0,,,,,,
1a4cbed8_option_3.svg,,0,,,,,,
1b4c7513_option_1.svg,6.5139,8,0.5,90,18,,,
1b4c7513_option_2.svg,6.5139,8,0.5,90,18,,,
1c5f6fd9_option_1.svg,,0,,,,,,
1c7ec419_option_1.svg,,0,,,,9.6097,6,
1da637e8_option_1.svg,,0,,,,,,
1da637e8_option_2.svg,,0,,,,,,
1da637e8_option_3.svg,,0,,,,,,
1da637e8_option_4.svg,,0,,,,,,
1da637e8_option_5.svg,,0,,,,,,
1dd64b6b_option_1.svg,,0,,,,,,
1dd64b6b_option_2.svg,2.3411,60,0.5,90,18,,,
1dd64b6b_option_3.svg,2.3411,148,0.5,90,18,,,
1dd64b6b_option_4.svg,2.3411,148,0.5,90,18,,,
1dd64b6b_option_5.svg,2.3411,20,0.474,90,19,,,
1dd64b6b_option_6.svg,2.3411,20,0.474,90,19,,,
20ef7a5c_option_1.svg,6.0914,52,0.485,76,18,,,
20ef7a5c_option_2.svg,6.0914,52,0.485,76,18,,,
21b16bff_option_1.svg,,0,,,,,,
21b16bff_option_10.svg,,0,,,,,,
21b16bff_option_11.svg,,0,,,,,,
21b16bff_option_12.svg,,0,,,,,,
21b16bff_option_13.svg,,0,,,,,,
21b16bff_option_14.svg,,0,,,,,,
21b16bff_option_15.svg,,0,,,,,,
21b16bff_option_2.svg,,0,,,,,,
21b16bff_option_3.svg,,0,,,,,,
21b16bff_option_4.svg,,0,,,,,,
21b16bff_option_7.svg,,0,,,,,,
21b16bff_option_8.svg,,0,,,,,,
23a219ff_option_1.svg,,0,,,,,,
23a219ff_option_4.svg,,0,,,,,,
23a219ff_option_5.svg,,0,,,,,,
23a219ff_option_6.svg,,0,,,,,,
23a219ff_option_7.svg,,0,,,,,,
23a219ff_option_8.svg,,0,,,,,,
24994d13_option_1.svg,,0,,,,3.7524,20,
24994d13_option_10.svg,3.7495,54,0.485,76,18,3.7464,6,0.0008
24994d13_option_11.svg,3.7495,54,0.485,76,18,3.7449,4,0.0012
24994d13_option_12.svg,3.7495,32,0.472,90,19.06,3.7449,4,0.0012
24994d13_option_13.svg,3.5412,77,0.472,76.3,18.52,3.7459,5,-0.0546
24994d13_option_14.svg,3.5412,13,0.472,90,19.06,3.7513,4,-0.0560
24994d13_option_15.svg,3.7495,74,0.485,76,18,3.6295,1,
24994d13_option_2.svg,,0,,,,3.7495,28,
24994d13_option_3.svg,3.5412,22,0.486,90,18.53,3.7449,4,-0.0544
24994d13_option_4.svg,3.7495,28,0.485,76,18,3.7472,8,0.0006
24994d13_option_5.svg,3.1186,14,0.468,90,19.24,3.7270,5,-0.1632
24994d13_option_6.svg,3.7495,34,0.5,90,18,3.7335,7,0.0043
24994d13_option_7.svg,3.1186,14,0.468,90,19.24,3.7355,8,-0.1651
24994d13_option_8.svg,3.7495,52,0.485,76,18,3.7402,2,0.0025
24994d13_option_9.svg,3.5412,49,0.472,90,19.06,3.7468,7,-0.0549
266dfb42_option_1.svg,6.0996,40,0.485,76,18,6.0996,6,0.0000
266dfb42_option_2.svg,6.0996,36,0.485,76,18,6.0996,6,0.0000
266dfb42_option_3.svg,6.0996,36,0.485,76,18,6.0996,6,0.0000
266dfb42_option_4.svg,2.0332,20,0.55,90,16.37,6.0996,6,-0.6667
266dfb42_option_5.svg,6.0996,12,0.5,90,18,6.0996,6,0.0000
266dfb42_option_6.svg,6.0996,14,0.5,90,18,6.0996,6,0.0000
266dfb42_option_7.svg,,0,,,,6.0996,6,
271d4c99_option_1.svg,,0,,,,2.7921,50,
271d4c99_option_2.svg,,0,,,,,,
271d4c99_option_3.svg,3.1397,36,0.5,90,18,,,
271d4c99_option_4.svg,3.336,16,0.486,90,18.53,,,
271d4c99_option_5.svg,3.5322,49,0.5,90,18,,,
271d4c99_option_6.svg,3.5653,35,0.508,90,17.7,,,
29c0acaf_option_1.svg,0.9921,369,0.5,90,18,,,
29c0acaf_option_2.svg,,0,,,,,,
2ac68c85_option_1.svg,,0,,,,,,
2ac68c85_option_3.svg,,0,,,,,,
2c0e104a_option_1.svg,,0,,,,5.7150,6,
2c0e104a_option_2.svg,5.7179,8,0.5,90,18,5.7150,6,0.0005
2c0e104a_option_3.svg,5.7179,12,0.5,90,18,5.7016,8,0.0029
3175b47b_option_1.svg,3.6897,36,0.5,90,18,,,
3175b47b_option_2.svg,3.6897,38,0.5,90,18,,,
3175b47b_option_3.svg,3.6897,70,0.5,90,18,,,
31bbf5c4_option_1.svg,,0,,,,6.0315,4,
31bbf5c4_option_2.svg,,0,,,,6.0315,5,
36f858e3_option_1.svg,,0,,,,,,
36f858e3_option_2.svg,1.9617,52,0.5,90,18,,,
3890c066_option_1.svg,,0,,,,,,
3890c066_option_2.svg,,0,,,,,,
3890c066_option_3.svg,,0,,,,,,
392fc213_option_1.svg,2.2312,40,0.487,76,17.94,,,
392fc213_option_2.svg,,0,,,,,,
392fc213_option_3.svg,,0,,,,,,
392fc213_option_5.svg,,0,,,,,,
3bc9413f_option_1.svg,,0,,,,6.0406,4,
3bc9413f_option_2.svg,,0,,,,6.0406,4,
3f23e4fb_option_1.svg,0.857,84,0.6,90,15,,,
3f23e4fb_option_2.svg,,0,,,,,,
3f23e4fb_option_3.svg,1.7138,38,0.5,90,17.99,,,
3f23e4fb_option_4.svg,,0,,,,,,
3fc882e8_option_1.svg,5.4274,13,0.5,90,18,,,
423976a6_option_1.svg,6.8027,8,0.5,90,18,6.8026,4,0.0000
42dddc11_option_1.svg,3.0591,8,0.6,90,15,,,
4400bfa9_option_1.svg,4.9104,18,0.5,90,18,,,
44161402_option_2.svg,,0,,,,,,
464cfcaf_option_1.svg,,0,,,,7.7838,5,
4b30ad4b_option_1.svg,,0,,,,,,
4b30ad4b_option_2.svg,6.4378,10,0.5,90,18,,,
4b30ad4b_option_3.svg,,0,,,,,,
4b30ad4b_option_4.svg,,0,,,,,,
4b30ad4b_option_5.svg,6.4378,16,0.485,76,18,,,
4c9ba114_option_1.svg,,0,,,,6.0699,6,
4c9ba114_option_2.svg,,0,,,,6.0699,6,
4c9ba114_option_3.svg,,0,,,,6.0699,6,
4d07683a_option_1.svg,1.4067,228,0.49,76,17.83,,,
4d07683a_option_2.svg,1.4067,208,0.49,76,17.83,,,
4d07683a_option_3.svg,1.4067,252,0.49,76,17.83,,,
532bc59d_option_1.svg,2.8469,44,0.5,90,18,,,
532bc59d_option_2.svg,,0,,,,,,
532bc59d_option_3.svg,,,,,,,,
55336cac_option_1.svg,0.9882,350,0.472,90,19.06,,,
55336cac_option_2.svg,0.9882,808,0.472,90,19.06,,,
55336cac_option_3.svg,0.9881,964,0.472,90,19.06,,,
55336cac_option_4.svg,0.9882,406,0.472,90,19.06,,,
56713426_option_1.svg,,0,,,,,,
56713426_option_2.svg,,0,,,,,,
56713426_option_3.svg,,0,,,,,,
5680ec8c_option_1.svg,,0,,,,,,
5680ec8c_option_2.svg,,0,,,,,,
5680ec8c_option_3.svg,,0,,,,,,
57cccdd1_option_1.svg,,0,,,,,,
57cccdd1_option_2.svg,,0,,,,,,
57cccdd1_option_3.svg,6.424,8,0.5,90,18,,,
5aea3a8a_option_1.svg,,0,,,,9.1831,5,
5aea3a8a_option_2.svg,,0,,,,9.1831,5,
5bbb95b6_option_1.svg,2.9369,61,0.501,90,17.97,,,
5bbb95b6_option_2.svg,2.9369,72,0.501,90,17.97,,,
5ce3d92b_option_1.svg,1.8608,118,0.5,90,18,,,
5ce3d92b_option_2.svg,1.8608,212,0.5,90,18,,,
5d82e2ab_option_1.svg,,0,,,,,,
5dc7098d_option_1.svg,8.8845,11,0.5,90,18,2.2211,1,
5fe5496f_option_1.svg,3.6939,44,0.5,90,18,,,
5fe5496f_option_2.svg,,0,,,,,,
5fe5496f_option_3.svg,,0,,,,,,
5fe5496f_option_4.svg,3.6939,40,0.5,90,18,,,
5fe5496f_option_5.svg,3.6939,40,0.5,90,18,,,
61ee9065_option_1.svg,5.1768,12,0.472,90,19.06,5.8282,10,-0.1118
61ee9065_option_2.svg,5.5003,10,0.501,90,17.97,5.8239,9,-0.0556
61ee9065_option_3.svg,5.4957,10,0.486,90,18.51,5.8971,4,-0.0681
61ee9065_option_4.svg,5.4957,10,0.486,90,18.51,5.8248,7,-0.0565
61ee9065_option_5.svg,5.1768,16,0.446,90,20.17,5.8256,36,-0.1114
61ee9065_option_6.svg,5.8239,18,0.485,76,18,5.8212,30,0.0005
61ee9065_option_7.svg,5.5003,16,0.487,90,18.5,5.8639,8,-0.0620
61ee9065_option_8.svg,5.5003,20,0.487,90,18.5,5.5459,2,-0.0082
62252c7a_option_1.svg,1.0472,32,0.472,90,19.06,,,
62252c7a_option_2.svg,1.0472,406,0.472,90,19.06,,,
62252c7a_option_3.svg,1.0472,77,0.472,90,19.06,,,
63917f25_option_1.svg,2.2095,140,0.5,90,18,2.2092,6,0.0001
63917f25_option_2.svg,2.3653,138,0.5,90,18,2.3649,5,0.0002
6457eda2_option_1.svg,,0,,,,3.6649,5,
6457eda2_option_2.svg,,0,,,,3.6649,5,
6457eda2_option_3.svg,,0,,,,3.6736,6,
64a58b47_option_1.svg,,0,,,,7.1518,2,
65ad242f_option_1.svg,,0,,,,,,
672782aa_option_1.svg,,0,,,,5.9828,5,
672782aa_option_2.svg,,0,,,,5.9525,7,
672782aa_option_3.svg,,0,,,,5.9525,7,
6954811e_option_1.svg,1.2676,46,0.5,90,18,1.4269,3,-0.1116
6954811e_option_2.svg,1.1884,218,0.469,90,19.2,1.4269,3,-0.1671
6954811e_option_3.svg,1.3469,754,0.472,90,19.06,1.4269,3,-0.0561
6954811e_option_4.svg,1.3469,726,0.472,90,19.06,1.4269,3,-0.0561
6954811e_option_5.svg,1.3469,775,0.472,90,19.06,1.4269,3,-0.0561
69a9c1a6_option_1.svg,8.5504,8,0.5,90,18,8.5568,4,-0.0007
69a9c1a6_option_2.svg,8.5504,8,0.5,90,18,8.5568,4,-0.0007
69a9c1a6_option_3.svg,8.5504,8,0.5,90,18,8.5568,4,-0.0007
69a9c1a6_option_4.svg,8.5504,8,0.5,90,18,8.5568,4,-0.0007
