name,method,candidates,on_site,plot_found,rings,coverage,best_on_site,off_white,off_other
00cda275_option_1_scale_not_supplied.svg,tagged,76,11,true,1,0.49,true,65,0
012cb8cb_option_1_scale_not_supplied.svg,tagged,51,10,true,1,0.84,true,41,0
012cb8cb_option_2_scale_not_supplied.svg,tagged,52,11,true,1,0.8,true,41,0
03c8385b_option_1_scale_not_supplied.svg,tagged,586,13,true,1,0.58,true,573,0
03c8385b_option_2_scale_not_supplied.svg,tagged,583,10,true,1,0.56,true,573,0
03c8385b_option_3_scale_not_supplied.svg,tagged,585,12,true,1,0.68,true,573,0
03c8385b_option_4_scale_not_supplied.svg,tagged,588,15,true,1,0.12,true,573,0
03c8385b_option_5_scale_not_supplied.svg,tagged,63,11,true,1,0.84,true,52,0
044920ad_option_1_scale_not_supplied.svg,tagged,40,21,true,1,0.46,true,19,0
044920ad_option_2_scale_not_supplied.svg,tagged,44,25,true,1,0.14,true,19,0
044920ad_option_3_scale_not_supplied.svg,tagged,33,14,true,1,0.14,true,19,0
04a3b128_option_1_scale_not_supplied.svg,tagged,549,23,true,1,0.84,true,526,0
04a3b128_option_2_scale_not_supplied.svg,tagged,544,18,true,1,0.84,true,526,0
04a3b128_option_3_scale_not_supplied.svg,tagged,542,15,true,1,0.07,true,526,1
07af836f_option_1_scale_not_supplied.svg,tagged,51,8,true,1,0.64,true,43,0
07af836f_option_2_scale_not_supplied.svg,tagged,51,8,true,1,0.64,true,43,0
08171cb3_option_1_scale_not_supplied.svg,tagged,499,498,true,1,0.98,true,1,0
08171cb3_option_2_scale_not_supplied.svg,tagged,399,398,true,1,0.87,true,1,0
08171cb3_option_3_scale_not_supplied.svg,tagged,386,385,true,1,0.81,true,1,0
08171cb3_option_4_scale_not_supplied.svg,tagged,478,477,true,1,0.85,true,1,0
08a9e7dd_option_10_scale_not_supplied.svg,tagged,75,19,true,1,0.93,true,56,0
08a9e7dd_option_1_scale_not_supplied.svg,tagged,66,16,true,1,1,true,50,0
08a9e7dd_option_2_scale_not_supplied.svg,tagged,65,15,true,1,1,true,50,0
08a9e7dd_option_3_scale_not_supplied.svg,tagged,112,63,true,1,0.62,true,49,0
08a9e7dd_option_4_scale_not_supplied.svg,tagged,146,97,true,1,0.41,true,49,0
08a9e7dd_option_5_scale_not_supplied.svg,tagged,139,90,true,1,0.92,true,49,0
08a9e7dd_option_6_scale_not_supplied.svg,tagged,78,29,true,1,0.41,true,49,0
08a9e7dd_option_7_scale_not_supplied.svg,tagged,77,28,true,1,0.41,true,49,0
08a9e7dd_option_8_scale_not_supplied.svg,tagged,105,55,true,1,0.61,true,50,0
093599c9_option_1_scale_not_supplied.svg,tagged,40,9,true,1,0.88,true,31,0
093599c9_option_2_scale_not_supplied.svg,tagged,40,9,true,1,0.87,true,31,0
