name,method,tag_is_top,top_fill,margin,candidates
00cda275_option_1.svg,tagged,true,#4d4d4d,3.33,76
012cb8cb_option_1.svg,tagged,true,#4d4d4d,7.22,51
012cb8cb_option_2.svg,tagged,true,#4d4d4d,5.6,52
03c8385b_option_1.svg,tagged,true,#4d4d4d,2.98,586
03c8385b_option_2.svg,tagged,true,#4d4d4d,2.07,583
03c8385b_option_3.svg,tagged,true,#4d4d4d,2.64,585
03c8385b_option_4.svg,tagged,true,#4d4d4d,5.89,588
03c8385b_option_5.svg,tagged,true,#4d4d4d,2.97,63
044920ad_option_1.svg,tagged,true,#4d4d4d,6.62,40
044920ad_option_2.svg,tagged,true,#4d4d4d,10.94,44
044920ad_option_3.svg,tagged,true,#4d4d4d,3.71,33
04a3b128_option_1.svg,tagged,true,#4d4d4d,1.18,549
04a3b128_option_2.svg,tagged,true,#4d4d4d,1.34,544
04a3b128_option_3.svg,tagged,false,#ac4f34,4.07,542
07af836f_option_1.svg,tagged,true,#4d4d4d,2.27,51
07af836f_option_2.svg,tagged,true,#4d4d4d,1.87,51
08171cb3_option_1.svg,tagged,true,#4d4d4d,31.76,499
08171cb3_option_2.svg,tagged,true,#4d4d4d,27.74,399
08171cb3_option_3.svg,tagged,true,#4d4d4d,26.05,386
08171cb3_option_4.svg,tagged,true,#4d4d4d,32.07,478
08a9e7dd_option_1.svg,tagged,true,#4d4d4d,1.15,66
08a9e7dd_option_10.svg,tagged,true,#4d4d4d,1.06,75
08a9e7dd_option_2.svg,tagged,true,#4d4d4d,1.15,65
08a9e7dd_option_3.svg,tagged,true,#4d4d4d,2.05,112
08a9e7dd_option_4.svg,tagged,true,#4d4d4d,1.16,146
08a9e7dd_option_5.svg,tagged,true,#4d4d4d,1.04,139
08a9e7dd_option_6.svg,tagged,true,#4d4d4d,1.18,78
08a9e7dd_option_7.svg,tagged,true,#4d4d4d,1.18,77
08a9e7dd_option_8.svg,tagged,true,#4d4d4d,2.1,105
093599c9_option_1.svg,tagged,true,#4d4d4d,2.42,40
